City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Arraial Do Cabo,BR,87.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
1,Portland,US,48.42,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
4,Cape Town,ZA,67.12,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
5,Shadegan,IR,87.75,clear sky,30.6497,48.6647,مسافر خانه ابو ولید
7,Butaritari,KI,81.64,broken clouds,3.0707,172.7902,Isles Sunset Lodge
8,Kavali,IN,82.04,clear sky,14.9167,79.9833,Hotel Mourya Paradise
9,Lebu,CL,55.54,few clouds,-37.6167,-73.65,Hostal Las Lilas
11,Pacasmayo,PE,73.76,broken clouds,-7.4006,-79.5714,Hotel Libertad
12,Cauquenes,CL,61.77,clear sky,-35.9671,-72.3225,Viña Don Heraldo
13,Bluff,NZ,57.92,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
14,Punta Arenas,CL,48.31,broken clouds,-53.15,-70.9167,Hotel Hain
17,Albany,US,35.02,overcast clouds,42.6001,-73.9662,
18,Rikitea,PF,78.62,light rain,-23.1203,-134.9692,People ThankYou
19,Airai,TL,60.01,overcast clouds,-8.9266,125.4092,
20,Muroto,JP,60.6,overcast clouds,33.2833,134.15,Oota Ryokan
21,Hilo,US,71.26,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
22,Bandarbeyla,SO,80.85,few clouds,9.4942,50.8122,JABIR HOTEL
23,Atuona,PF,78.06,light rain,-9.8,-139.0333,Villa Enata
24,Bengkulu,ID,78.73,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
25,Husavik,IS,31.82,scattered clouds,66.0449,-17.3389,Bjarnabúð
26,Ribeira Grande,PT,66.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
27,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
28,Ushuaia,AR,46.06,broken clouds,-54.8,-68.3,Albatross Hotel
29,Kantabanji,IN,89.38,clear sky,20.4833,82.9167,Kamdhenu Borewell And Trading
31,Hobart,AU,51.66,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
36,Moron,AR,59.02,clear sky,-34.6534,-58.6198,Hotel Morón
37,Hithadhoo,MV,82.9,clear sky,-0.6,73.0833,Scoop Guest House
38,Komsomolskiy,UZ,56.12,clear sky,40.4272,71.7189,Ikathouse
39,Vardo,NO,30.18,light snow,70.3705,31.1107,Vardø Hotel AS
40,Chicama,PE,68.54,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
41,Guerrero Negro,MX,60.06,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
42,Nikolskoye,RU,33.69,overcast clouds,59.7035,30.7861,Tourist House - Sablino
43,Shitanjing,CN,39.51,overcast clouds,39.2342,106.3439,
45,Anahuac,MX,78.24,clear sky,27.2333,-100.15,HOTEL SAN FELIPE
47,Busselton,AU,67.53,clear sky,-33.65,115.3333,Observatory Guest House
48,Kavieng,PG,81.61,moderate rain,-2.5744,150.7967,Nusa Island Retreat
49,Castro,BR,78.01,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
50,New Norfolk,AU,51.3,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
51,Sydney,AU,68.11,light intensity shower rain,-33.8679,151.2073,The Grace Sydney
52,Birjand,IR,70.27,clear sky,32.8663,59.2211,Birjand Tourist Hotel
53,Mehamn,NO,30.11,light snow,71.0357,27.8492,Mehamn Arctic Hotel AS
54,Ballina,AU,69.76,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
55,Waverly,US,41.14,few clouds,42.7392,-84.6208,"Crowne Plaza Lansing West, an IHG Hotel"
56,Terney,RU,31.14,clear sky,45.0503,136.6092,"Hotel ""Ternay"""
57,Vanersborg,SE,41.58,clear sky,58.3807,12.3234,Best Western Arena Hotell
58,Cidreira,BR,67.06,moderate rain,-30.1811,-50.2056,Hotel Castelo
59,Ugoofaaru,MV,83.88,clear sky,5.6667,73.0,Ungoofaaru Inn
60,Trat,TH,83.91,overcast clouds,12.5,102.5,สวนหนิง-อัศ
64,Pangkalanbuun,ID,76.3,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
65,Hasaki,JP,57.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
66,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
68,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
70,Kisangani,CD,80.19,overcast clouds,0.5167,25.2,Grand Ramela Hotel
71,Luwuk,ID,78.64,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
72,Souillac,MU,77.38,moderate rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
73,Mataura,NZ,52.36,overcast clouds,-46.1927,168.8643,Ellie's Villa
