City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,58,0,16.11,clear sky
1,Portland,US,45.5234,-122.6762,48.42,82,100,7.0,overcast clouds
2,Barrow,US,71.2906,-156.7887,-12.98,77,0,14.97,clear sky
3,Churapcha,RU,62.0025,132.4325,-4.16,100,98,3.67,overcast clouds
4,Cape Town,ZA,-33.9258,18.4232,67.12,76,75,11.5,broken clouds
5,Shadegan,IR,30.6497,48.6647,87.75,6,0,6.58,clear sky
6,Aranos,NA,-24.1333,19.1167,77.74,47,77,14.2,broken clouds
7,Butaritari,KI,3.0707,172.7902,81.64,64,70,8.03,broken clouds
8,Kavali,IN,14.9167,79.9833,82.04,81,1,16.75,clear sky
9,Lebu,CL,-37.6167,-73.65,55.54,54,15,23.69,few clouds
10,Norman Wells,CA,65.282,-126.8329,5.04,78,100,8.05,light snow
11,Pacasmayo,PE,-7.4006,-79.5714,73.76,74,63,8.77,broken clouds
12,Cauquenes,CL,-35.9671,-72.3225,61.77,25,0,13.02,clear sky
13,Bluff,NZ,-46.6,168.3333,57.92,89,98,4.05,overcast clouds
14,Punta Arenas,CL,-53.15,-70.9167,48.31,68,75,13.8,broken clouds
15,Khatanga,RU,71.9667,102.5,13.48,96,100,5.06,light snow
16,Tazovskiy,RU,67.4667,78.7,29.46,96,100,14.2,light snow
17,Albany,US,42.6001,-73.9662,35.02,33,100,1.01,overcast clouds
18,Rikitea,PF,-23.1203,-134.9692,78.62,71,93,13.15,light rain
19,Airai,TL,-8.9266,125.4092,60.01,95,92,1.57,overcast clouds
20,Muroto,JP,33.2833,134.15,60.6,86,100,7.94,overcast clouds
21,Hilo,US,19.7297,-155.09,71.26,84,0,3.44,clear sky
22,Bandarbeyla,SO,9.4942,50.8122,80.85,70,14,12.64,few clouds
23,Atuona,PF,-9.8,-139.0333,78.06,82,64,14.99,light rain
24,Bengkulu,ID,-3.8004,102.2655,78.73,83,100,7.61,overcast clouds
25,Husavik,IS,66.0449,-17.3389,31.82,60,32,2.44,scattered clouds
26,Ribeira Grande,PT,38.5167,-28.7,66.6,77,75,6.91,broken clouds
27,Vaini,TO,-21.2,-175.2,75.36,94,40,2.3,scattered clouds
28,Ushuaia,AR,-54.8,-68.3,46.06,66,75,11.5,broken clouds
29,Kantabanji,IN,20.4833,82.9167,89.38,10,6,2.71,clear sky
30,Doka,SD,13.5167,35.7667,101.75,9,10,11.27,clear sky
31,Hobart,AU,-42.8794,147.3294,51.66,78,40,8.05,scattered clouds
32,Iqaluit,CA,63.7506,-68.5145,28.13,93,100,13.8,overcast clouds
33,Cherskiy,RU,68.75,161.3,-14.33,100,85,1.9,overcast clouds
34,Oksfjord,NO,70.2396,22.3479,28.58,94,100,14.54,snow
35,Keetmanshoop,NA,-26.5833,18.1333,90.52,25,20,6.91,few clouds
36,Moron,AR,-34.6534,-58.6198,59.02,43,0,14.16,clear sky
37,Hithadhoo,MV,-0.6,73.0833,82.9,67,2,3.4,clear sky
38,Komsomolskiy,UZ,40.4272,71.7189,56.12,33,0,2.3,clear sky
39,Vardo,NO,70.3705,31.1107,30.18,80,75,23.02,light snow
40,Chicama,PE,-7.8447,-79.1469,68.54,67,38,6.93,scattered clouds
41,Guerrero Negro,MX,27.9769,-114.0611,60.06,71,3,15.97,clear sky
42,Nikolskoye,RU,59.7035,30.7861,33.69,70,97,9.86,overcast clouds
43,Shitanjing,CN,39.2342,106.3439,39.51,28,93,4.12,overcast clouds
44,Severo-Kurilsk,RU,50.6789,156.125,29.53,84,76,14.0,broken clouds
45,Anahuac,MX,27.2333,-100.15,78.24,14,0,26.33,clear sky
46,Upernavik,GL,72.7868,-56.1549,15.6,86,46,9.86,scattered clouds
47,Busselton,AU,-33.65,115.3333,67.53,77,0,14.63,clear sky
48,Kavieng,PG,-2.5744,150.7967,81.61,79,79,7.45,moderate rain
49,Castro,BR,-24.7911,-50.0119,78.01,59,95,11.45,overcast clouds
50,New Norfolk,AU,-42.7826,147.0587,51.3,67,66,1.01,broken clouds
51,Sydney,AU,-33.8679,151.2073,68.11,94,75,32.21,light intensity shower rain
52,Birjand,IR,32.8663,59.2211,70.27,5,0,11.5,clear sky
53,Mehamn,NO,71.0357,27.8492,30.11,79,100,23.8,light snow
54,Ballina,AU,-28.8667,153.5667,69.76,96,100,12.66,overcast clouds
55,Waverly,US,42.7392,-84.6208,41.14,81,20,20.71,few clouds
56,Terney,RU,45.0503,136.6092,31.14,67,8,6.58,clear sky
57,Vanersborg,SE,58.3807,12.3234,41.58,15,0,9.22,clear sky
58,Cidreira,BR,-30.1811,-50.2056,67.06,93,100,13.94,moderate rain
59,Ugoofaaru,MV,5.6667,73.0,83.88,67,10,0.69,clear sky
60,Trat,TH,12.5,102.5,83.91,79,96,1.01,overcast clouds
61,Araouane,ML,18.9048,-3.5265,102.27,3,5,5.14,clear sky
62,Yellowknife,CA,62.456,-114.3525,0.41,87,20,9.22,few clouds
63,Sao Joao Do Piaui,BR,-8.3581,-42.2467,95.09,33,98,6.91,overcast clouds
64,Pangkalanbuun,ID,-2.6833,111.6167,76.3,92,91,1.97,overcast clouds
65,Hasaki,JP,35.7333,140.8333,57.6,86,100,18.48,overcast clouds
66,Georgetown,MY,5.4112,100.3354,85.95,75,20,5.01,few clouds
67,Kodiak,US,57.79,-152.4072,26.11,100,0,5.75,clear sky
68,Puerto Ayora,EC,-0.7393,-90.3518,82.36,90,100,3.0,overcast clouds
69,Srednekolymsk,RU,67.45,153.6833,-7.19,98,100,3.13,overcast clouds
70,Kisangani,CD,0.5167,25.2,80.19,62,99,1.88,overcast clouds
71,Luwuk,ID,-0.9516,122.7875,78.64,86,100,2.71,overcast clouds
72,Souillac,MU,-20.5167,57.5167,77.38,94,75,11.5,moderate rain
73,Mataura,NZ,-46.1927,168.8643,52.36,99,92,1.12,overcast clouds
74,Aklavik,CA,68.2191,-135.0107,-20.2,76,40,8.05,scattered clouds
75,Tuatapere,NZ,-46.1333,167.6833,55.45,95,96,2.91,overcast clouds
76,Pisco,PE,-13.7,-76.2167,69.85,73,67,5.75,mist
77,Saint-Philippe,RE,-21.3585,55.7679,78.39,83,88,17.52,moderate rain
78,Muromtsevo,RU,56.3724,75.2418,30.34,91,74,13.22,broken clouds
79,Sakaiminato,JP,35.55,133.2333,57.18,100,75,3.44,broken clouds
80,Qaanaaq,GL,77.484,-69.3632,19.54,86,100,3.13,overcast clouds
81,Constitucion,CL,-35.3333,-72.4167,59.99,39,0,11.18,clear sky
82,Skjervoy,NO,70.0311,20.9714,28.4,74,100,22.5,light snow
83,Aniva,RU,46.7144,142.5294,33.91,65,2,12.71,clear sky
84,Codrington,AU,-38.2667,141.9667,58.62,53,99,20.8,overcast clouds
85,Lardos,GR,36.0942,28.0157,66.02,61,82,5.95,broken clouds
86,Nieuw Amsterdam,SR,5.8833,-55.0833,89.02,66,40,11.5,scattered clouds
